latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
14.37288,100.367477,338.44,0.45,0.47,2019-04-01,0609,N,VIIRS,n,1,292.84,9.97,D,0
14.849075,103.035759,346.96,0.47,0.4,2019-04-01,0609,N,VIIRS,n,1,300.57,7.72,D,0
14.383754,100.378441,338.34,0.45,0.47,2019-04-01,0609,N,VIIRS,n,1,294.32,6.52,D,0
14.374284,100.301826,342.79,0.46,0.47,2019-04-01,0609,N,VIIRS,n,1,298.32,10.73,D,0
14.455508,100.727409,367,0.43,0.46,2019-04-01,0609,N,VIIRS,h,1,301.65,10.29,D,0
14.454796,100.723434,335.96,0.43,0.46,2019-04-01,0609,N,VIIRS,n,1,299.15,10.29,D,0
14.398378,100.410233,334.67,0.45,0.47,2019-04-01,0609,N,VIIRS,n,1,297.74,4.3,D,0
14.403414,100.413605,343.22,0.45,0.47,2019-04-01,0609,N,VIIRS,n,1,297.84,7.21,D,0
14.402663,100.409447,333.33,0.45,0.47,2019-04-01,0609,N,VIIRS,n,1,297.51,4.68,D,0
14.414968,100.428635,343.04,0.45,0.47,2019-04-01,0609,N,VIIRS,n,1,298.98,8.13,D,0
14.406713,100.382774,334.59,0.45,0.47,2019-04-01,0609,N,VIIRS,n,1,296.29,2.78,D,0
14.402943,100.361839,334.02,0.45,0.47,2019-04-01,0609,N,VIIRS,n,1,294.55,3.88,D,0
14.402186,100.357643,334.76,0.45,0.47,2019-04-01,0609,N,VIIRS,n,1,291.25,5.01,D,0
14.407237,100.361031,337.5,0.45,0.47,2019-04-01,0609,N,VIIRS,n,1,293.41,3.88,D,0
14.422771,100.422874,348.99,0.45,0.47,2019-04-01,0609,N,VIIRS,n,1,296.82,5.25,D,0
15.19248,104.944077,334.98,0.4,0.37,2019-04-01,0609,N,VIIRS,l,1,302.76,4.04,D,0
14.399363,100.217804,332.84,0.46,0.47,2019-04-01,0609,N,VIIRS,n,1,296.07,4.7,D,0
14.435615,100.3209,342.79,0.46,0.47,2019-04-01,0609,N,VIIRS,n,1,293.31,10.78,D,0
14.434865,100.316673,343.17,0.46,0.47,2019-04-01,0609,N,VIIRS,n,1,292.87,7.42,D,0
14.417465,100.218811,332.83,0.46,0.47,2019-04-01,0609,N,VIIRS,n,1,295.64,1.97,D,0
14.460383,100.385643,339.31,0.45,0.47,2019-04-01,0609,N,VIIRS,n,1,297.66,7.46,D,0
14.459649,100.38147,332.67,0.45,0.47,2019-04-01,0609,N,VIIRS,n,1,297.84,6.06,D,0
14.424371,100.181946,337.37,0.47,0.47,2019-04-01,0609,N,VIIRS,n,1,295.01,4.09,D,0
