latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
7.93329,122.48593,355.4,0.39,0.44,2020-03-04,05:24,N,nominal,1.0NRT,306.8,28.1,D
8.08949,123.15824,335.9,0.43,0.46,2020-03-04,05:24,N,nominal,1.0NRT,302.3,3.9,D
8.07786,123.07529,348.7,0.42,0.45,2020-03-04,05:24,N,nominal,1.0NRT,300.2,11.9,D
8.08209,123.07502,351.4,0.42,0.45,2020-03-04,05:24,N,nominal,1.0NRT,301.1,11.9,D
8.309,124.675,336,0.54,0.51,2020-03-04,05:24,N,nominal,1.0NRT,297.5,6.4,D
8.02165,122.35973,332,0.57,0.43,2020-03-04,05:24,N,nominal,1.0NRT,300.1,3.3,D
8.02392,122.36282,349.1,0.57,0.43,2020-03-04,05:24,N,nominal,1.0NRT,301,9.6,D
8.10973,122.95899,330.7,0.41,0.45,2020-03-04,05:24,N,nominal,1.0NRT,300.1,3.3,D
8.18557,123.42133,335.5,0.45,0.47,2020-03-04,05:24,N,nominal,1.0NRT,295.9,11.2,D
8.18498,123.41692,342.5,0.44,0.46,2020-03-04,05:24,N,nominal,1.0NRT,296.8,11.2,D
8.13001,122.65189,342.1,0.4,0.44,2020-03-04,05:24,N,nominal,1.0NRT,301.4,4.2,D
8.21661,123.17551,346.1,0.43,0.46,2020-03-04,05:24,N,nominal,1.0NRT,304.3,6.2,D
7.31354,116.96642,332.3,0.39,0.36,2020-03-04,05:24,N,nominal,1.0NRT,295,3.1,D
8.42658,124.52618,335.1,0.53,0.5,2020-03-04,05:24,N,nominal,1.0NRT,296.4,3.4,D
8.69236,124.84779,342,0.56,0.52,2020-03-04,05:24,N,nominal,1.0NRT,296.1,7,D
8.69252,124.8496,340.8,0.56,0.52,2020-03-04,05:24,N,nominal,1.0NRT,296,4.8,D
5.64382,104.97773,353.3,0.68,0.74,2020-03-04,05:24,N,nominal,1.0NRT,288.9,11.2,D
5.64483,104.97894,347.9,0.68,0.74,2020-03-04,05:24,N,nominal,1.0NRT,288.8,9.5,D
8.2292,117.09955,350.2,0.39,0.36,2020-03-04,05:24,N,nominal,1.0NRT,299.6,4.7,D
9.08726,122.98033,332.9,0.43,0.46,2020-03-04,05:24,N,nominal,1.0NRT,298.5,2.5,D
9.25987,123.04661,330,0.44,0.46,2020-03-04,05:24,N,nominal,1.0NRT,298.7,4.3,D
9.25939,123.04307,342,0.44,0.46,2020-03-04,05:24,N,nominal,1.0NRT,300.1,4.3,D
9.29542,123.02229,341.3,0.43,0.46,2020-03-04,05:24,N,nominal,1.0NRT,297.3,5.4,D
9.29443,123.02195,340.5,0.43,0.46,2020-03-04,05:24,N,nominal,1.0NRT,297.4,6.7,D
8.7185,117.69261,333.4,0.38,0.36,2020-03-04,05:24,N,nominal,1.0NRT,299.2,1.8,D
8.80514,117.75407,336.5,0.39,0.36,2020-03-04,05:24,N,nominal,1.0NRT,295.2,2.5,D
8.85478,117.7682,335.8,0.39,0.36,2020-03-04,05:24,N,nominal,1.0NRT,296.6,3.8,D
9.60423,122.64217,342.1,0.41,0.45,2020-03-04,05:24,N,nominal,1.0NRT,301.4,9.4,D
9.61243,122.57863,346.3,0.41,0.45,2020-03-04,05:24,N,nominal,1.0NRT,304.8,9.6,D
9.60836,122.5491,334.9,0.41,0.45,2020-03-04,05:24,N,nominal,1.0NRT,298.5,3.4,D
9.61656,122.57803,342.5,0.41,0.45,2020-03-04,05:24,N,nominal,1.0NRT,298.8,9.6,D
8.99271,117.72091,348.5,0.39,0.36,2020-03-04,05:24,N,nominal,1.0NRT,302.6,14,D
9.05774,117.97292,332.1,0.39,0.36,2020-03-04,05:24,N,nominal,1.0NRT,301.4,2.7,D
9.0616,117.97594,333.7,0.39,0.36,2020-03-04,05:24,N,nominal,1.0NRT,301.6,2.7,D
8.99603,117.72041,337.5,0.39,0.36,2020-03-04,05:24,N,nominal,1.0NRT,298.7,14,D
9.06054,117.96889,330.1,0.39,0.36,2020-03-04,05:24,N,nominal,1.0NRT,299.4,1.3,D
9.08231,118.02326,334.2,0.39,0.36,2020-03-04,05:24,N,nominal,1.0NRT,303.8,25.9,D
9.08564,118.02277,331.9,0.39,0.36,2020-03-04,05:24,N,nominal,1.0NRT,301.8,6.5,D
9.08512,118.01925,339.5,0.39,0.36,2020-03-04,05:24,N,nominal,1.0NRT,302.7,6.5,D
9.09245,118.0001,336,0.39,0.36,2020-03-04,05:24,N,nominal,1.0NRT,302.2,3.8,D
9.77012,122.60658,341,0.41,0.45,2020-03-04,05:24,N,nominal,1.0NRT,297.7,6.9,D
9.09743,117.8549,341.3,0.39,0.36,2020-03-04,05:24,N,nominal,1.0NRT,301.9,5.1,D
